
ID	DOCULECT	CONCEPT	VALUE	CONCEPTICON_ID	CONCEPTICON_GLOSS	GLOTTOLOG	SOURCE
48199	Venetian-std	Friday	divendres	1692	FRIDAY	vene1258	logos
84234	Hindi-std	Friday	शुक्रवार	1692	FRIDAY	hind1269	logos
163505	Romagnol-std	Friday	vèner	1692	FRIDAY	roma1328	logos
198485	Latin-std	Friday	Venerisdies	1692	FRIDAY	lati1261	logos
232565	Galician-std	Friday	venres	1692	FRIDAY	gali1258	logos
48373	Venetian-std	I	yo	1209	I	vene1258	logos
48374	Venetian-std	I	i	1209	I	vene1258	logos
84409	Hindi-std	I	मैं	1209	I	hind1269	logos
163681	Romagnol-std	I	me	1209	I	roma1328	logos
198703	Latin-std	I	i	1209	I	lati1261	logos
198704	Latin-std	I	ego	1209	I	lati1261	logos
232740	Galician-std	I	eu	1209	I	gali1258	logos
48195	Venetian-std	Monday	dilluns	1697	MONDAY	vene1258	logos
84230	Hindi-std	Monday	सोमवार	1697	MONDAY	hind1269	logos
163501	Romagnol-std	Monday	lundè	1697	MONDAY	roma1328	logos
198481	Latin-std	Monday	Lunaedies	1697	MONDAY	lati1261	logos
232561	Galician-std	Monday	luns	1697	MONDAY	gali1258	logos
48200	Venetian-std	Saturday	dissabte	1700	SATURDAY	vene1258	logos
84235	Hindi-std	Saturday	शनिवार	1700	SATURDAY	hind1269	logos
163506	Romagnol-std	Saturday	sàbit	1700	SATURDAY	roma1328	logos
198486	Latin-std	Saturday	Saturnidies	1700	SATURDAY	lati1261	logos
232566	Galician-std	Saturday	sábado	1700	SATURDAY	gali1258	logos
48194	Venetian-std	Sunday	dumenge	1699	SUNDAY	vene1258	logos
84229	Hindi-std	Sunday	रविवार	1699	SUNDAY	hind1269	logos
163500	Romagnol-std	Sunday	dmànga	1699	SUNDAY	roma1328	logos
198480	Latin-std	Sunday	dominica	1699	SUNDAY	lati1261	logos
232560	Galician-std	Sunday	domingo	1699	SUNDAY	gali1258	logos
48198	Venetian-std	Thursday	dijous	1693	THURSDAY	vene1258	logos
84233	Hindi-std	Thursday	वीरवार	1693	THURSDAY	hind1269	logos
